src	dst
老师是千变万化的，有人编出一个完整的神话，有人编出一个神话，有人编出一个完整的童话，却将千变万化编出来了！	Teachers are ever-changing. Some make up a complete myth, some make up a myth, and some make up a complete fairy tale, but they make up the ever-changing!
老师是辛勤的园丁，种出了知识的果园；	The teacher is a hardworking gardener who has planted an orchard of knowledge;
老师是我的老师，让我上了大学。	The teacher is my teacher and let me go to college.
老师是天边的彩虹，让我看到了希望。	The teacher is the rainbow in the sky, which makes me see hope.
老师是一位教书人。我深深感觉不到教书人的伟大。	The teacher is a teacher. I deeply don't feel the greatness of teaching people.
老师是一爱一心灵的泉源，教育家说：[UNK]教育就是培养青春的火炬[UNK][UNK]	Teachers are the fountain of love and soul. Educators say: [unk] education is the torch of cultivating youth [unk] [unk]
老师是天上的彩虹，彩虹是校园的彩灯，在校园的每个角落，你都可以看到这绚丽多彩的彩虹。	The teacher is the rainbow in the sky. The rainbow is the colored lamp of the campus. You can see this colorful rainbow in every corner of the campus.
老师是一本好书，能够把知识的奥秘传授给我们：你有没有发现？老师，我有没有发现？	Is there a book that can teach you knowledge? Teacher, did I find anything?
老师是一个勤奋斗者，让我们的知识更加丰富多采	The teacher is a diligent fighter, which makes our knowledge richer and more colorful
老师是高明的老师，给我们带来了知识的殿堂。	A teacher is a wise teacher who brings us a palace of knowledge.
老师是自然界的一朵奇花，开在树梢的一朵，凋落在枝头的一朵。老师是自然界的一只蚂蚁，在蚂蚁肚皮上藏着一颗颗小星星，小星星在我们眼前一闪一闪的，好像是那奇形怪状的一池春水。	The teacher is a wonderful flower in nature, one blooming in the treetops and one withering in the branches. The teacher is an ant in nature. There are small stars hidden in the belly of the ant. The little stars flash before our eyes, like a strange pool of spring water.
老师是天空中一朵朵洁白的云，让我看起来如翡翠、洁白如雪。	Teachers are white clouds in the sky, which make me look like jade and white as snow.
自由是沙漠中一棵棵茂盛的树，能给予荒漠里所有的生机；自由是一道奇特的瀑布，能让迷失方向的人领略风光；自由是一个奇妙的港湾，能让人忘记尘土的污染。	Freedom is the lush trees in the desert, which can give all the vitality in the desert; Freedom is a strange waterfall, which can let people who lose their way enjoy the scenery; Freedom is a wonderful harbor, which can make people forget the pollution of dust.
自由是美丽的花朵；自由是纯洁的雪花	Freedom is a beautiful flower; Freedom is a pure snowflake
