src	dst
夏天像个闷热的大早，人们就纷纷地打着瞌睡，希望能够早点醒来；可是天一亮，四周一片漆黑：各种各样的声响也听不清楚啦。	Summer is like a muggy morning. People doze off one after another, hoping to wake up early; But at dawn, it was dark all around: I couldn't hear all kinds of sounds clearly.
夏天像个大姑娘，她那娇嫩的身材像一匹纯种烈马，映照在蓝蓝的天上。她转动着她那闪亮的双眼，一张嘴像一张美丽的嘴，一双眼睛像一块绿色的地毯。	Summer is like a big girl. Her delicate figure is like a thoroughbred horse, reflected in the blue sky. She turned her shining eyes, a mouth like a beautiful mouth, and a pair of eyes like a green carpet.
夏天像刚出发的娃娃，	Summer is like a new doll,
夏天像一个炎炎烈日正在给我刮胡子，使我的头发直竖起来，如果我使劲刮，胡子会立刻变白的。	Summer is like a scorching sun shaving me and making my hair stand up straight. If I shave hard, my beard will turn white immediately.
夏天像个好人家，大地好像蒙上了一层轻纱。天空是蓝汪汪的，太陽一出来，大地就变成一片金黄色了。春天是个魔术师，她融化了冰雪，让小草破土而出。春天是个好老师，她教导我们：做人要有态度，做事要有追求，才能不断向前迈进。	Summer is like a good family, and the earth seems to be covered with a layer of gauze. The sky is blue. As soon as the sun comes out, the earth turns golden. Spring is a magician. She melts the ice and snow and lets the grass break through the earth. Spring is a good teacher. She teaches us that we should have an attitude and pursue things in order to move forward.
夏天像一个大热天的晚上，天地一片蓝亮，太陽公公是一个金黄色的大棉袍，天上无云透出银色的云彩，树上有一丝微微的光。满天的星星却像一个个淘气的孩子，在向我们解释着夏天的来历。	Summer is like a hot night. The sky and the earth are blue and bright. The father-in-law of the sun is a big golden cotton robe. There are no clouds in the sky, silver clouds appear, and there is a slight light on the trees. The stars all over the sky are like naughty children explaining the origin of summer to us.
夏天像个闹鸡叫，它在那里等待着，等了一个钟头，又等了一个钟头。最后，它终于站起来了，但没有走出草原。	Summer is like a crowing chicken. It waits there for an hour and another hour. Finally, it finally stood up, but did not go out of the grassland.
夏天像一个早晨，小草从树梢升起来，一下子变成了落叶，把夏天的炎热赶走了。	Summer is like a morning. The grass rises from the treetops and suddenly becomes fallen leaves, driving away the heat of summer.
夏天像个大姑娘，她那雪白的大脸蛋，穿着一件雪白大衣，裙摆是那样整齐，鞋尖是什么颜色的呢？太陽像个害羞的小姑娘，微笑着，微笑着，荡漾着温柔的涟漪	Summer is like a big girl. She has a big snow-white face and is wearing a snow-white coat. The skirt is so neat. What color is the toe? The sun is like a shy little girl, smiling, smiling, rippling with gentle ripples
夏天像一个炎热的夏天，金灿灿的陽光一下子将大地热闹起来。太陽西沉了，天空会突然起云，大地会变得更加金辉灿烂。	Summer is like a hot summer. The golden sunshine makes the earth lively all at once. When the sun sets in the west, clouds will suddenly rise in the sky and the earth will become more golden.
